Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
85,2005,2005,253.74998842592595,256.9999884259259,17.999722222222225,23.999722222222225,6,[],Exponential Decay,-0.9049877691867314,-0.8847301051889931,"(Timestamp('2005-09-11 12:00:00.064803'), Timestamp('2005-09-14 01:59:59.889116'))","(Timestamp('2005-09-11 12:00:00.064803'), Timestamp('2005-09-14 01:59:59.889116'))"
86,2005,2005,256.625,261.3749884259259,15.0,8.999722222222221,6,[],Power-Law Decay,-0.9544689251231628,-0.9807366457384179,"(Timestamp('2005-09-14 12:59:59.959680'), Timestamp('2005-09-17 20:00:00.122402'))","(Timestamp('2005-09-15 07:59:59.966878'), Timestamp('2005-09-18 15:00:00.129600'))"
87,2005,2005,261.58332175925926,266.9583333333333,13.99972222222222,23.0,4,"['Si', 'Fe']",Exponential Decay,-0.9736512435328698,-0.8865978108797961,"(Timestamp('2005-09-19 12:59:59.955357'), Timestamp('2005-09-23 19:00:00.093598'))","(Timestamp('2005-09-20 13:59:59.915036'), Timestamp('2005-09-24 20:00:00.053278'))"
88,2006,2006,340.70832175925926,347.25,16.999722222222225,6.0,6,[],Exponential Decay,-0.9872208505309619,-0.8858226107216655,"(Timestamp('2006-12-08 14:59:59.870401'), Timestamp('2006-12-13 02:59:59.961116'))","(Timestamp('2006-12-08 06:00:00.099362'), Timestamp('2006-12-12 17:59:59.874720'))"
89,2006,2006,346.95832175925926,357.1666666666667,22.999722222222225,4.0,6,[],Exponential Decay,-0.9745883838892317,-0.9675677878121977,"(Timestamp('2006-12-15 08:00:00.014397'), Timestamp('2006-12-22 07:59:59.945280'))","(Timestamp('2006-12-14 09:00:00.038878'), Timestamp('2006-12-21 08:59:59.969761'))"
90,2011,2011,66.79165509259259,75.875,18.999722222222225,21.0,5,['Fe'],Exponential Decay,-0.9792983807591225,-0.933786886748258,"(Timestamp('2011-03-09 03:59:59.847356'), Timestamp('2011-03-16 00:00:00.125282'))","(Timestamp('2011-03-10 05:00:00.122399'), Timestamp('2011-03-17 01:00:00.084961'))"
91,2011,2011,79.41665509259259,87.25,9.99972222222222,6.0,6,[],Power-Law Decay,-0.9550351812036946,-0.9605713700817785,"(Timestamp('2011-03-22 14:00:00.135362'), Timestamp('2011-03-28 07:00:00.154077'))","(Timestamp('2011-03-21 23:00:00.096478'), Timestamp('2011-03-27 16:00:00.115200'))"
92,2011,2011,158.2916550925926,162.6666550925926,6.999722222222222,15.99972222222222,5,['Si'],Power-Law Decay,-0.9167958285803771,-0.9587392980698847,"(Timestamp('2011-06-07 15:00:00.155522'), Timestamp('2011-06-11 03:00:00.120956'))","(Timestamp('2011-06-08 03:00:00.060477'), Timestamp('2011-06-11 15:00:00.025918'))"
93,2011,2011,163.9166550925926,166.58333333333334,21.999722222222225,14.0,5,['Fe'],Power-Law Decay,-0.9221121169237888,-0.9278525604573427,"(Timestamp('2011-06-13 20:00:00.079199'), Timestamp('2011-06-15 12:59:59.912161'))","(Timestamp('2011-06-13 20:00:00.079199'), Timestamp('2011-06-15 12:59:59.912161'))"
94,2011,2011,215.8333217592593,220.79166666666663,19.999722222222225,19.0,6,[],Exponential Decay,-0.9794663214507312,-0.8564240228378007,"(Timestamp('2011-08-05 03:59:59.907838'), Timestamp('2011-08-08 19:00:00.007202'))","(Timestamp('2011-08-05 05:00:00.057600'), Timestamp('2011-08-08 20:00:00.156957'))"
95,2011,2011,264.45832175925926,284.20832175925926,10.99972222222222,4.999722222222222,5,['Fe'],Exponential Decay,-0.9577302175876837,-0.9245840795104189,"(Timestamp('2011-09-26 16:59:59.854560'), Timestamp('2011-10-11 06:59:59.920797'))","(Timestamp('2011-09-26 06:59:59.933759'), Timestamp('2011-10-10 21:00:00.000002'))"
96,2011,2011,330.08332175925926,340.45832175925926,1.9997222222222224,10.99972222222222,6,[],Exponential Decay,-0.9630796710300694,-0.9531873908559911,"(Timestamp('2011-11-26 16:59:59.928002'), Timestamp('2011-12-04 16:59:59.984158'))","(Timestamp('2011-11-27 15:00:00.069123'), Timestamp('2011-12-05 15:00:00.125279'))"
97,2012,2012,24.311122685185182,27.760011574074078,7.466944444444445,18.240277777777777,6,[],Exponential Decay,-0.9778388389001638,-0.9209311821805398,"(Timestamp('2012-01-24 21:25:44.352482'), Timestamp('2012-01-27 18:14:25.624318'))","(Timestamp('2012-01-24 16:26:33.430563'), Timestamp('2012-01-27 13:15:14.702399'))"
98,2012,2012,27.095162037037035,36.02902777777778,2.283888888888889,0.6966666666666667,6,[],Exponential Decay,-0.9876151463273833,-0.9072597089986725,"(Timestamp('2012-01-28 07:12:17.642881'), Timestamp('2012-02-03 20:46:23.558882'))","(Timestamp('2012-01-29 11:07:42.427196'), Timestamp('2012-02-05 00:41:48.343197'))"
99,2012,2012,67.06898148148149,70.97494212962962,1.6555555555555554,23.398611111111112,6,[],Irregular Decay,-0.8993207073556803,-0.9036407505464191,"(Timestamp('2012-03-07 16:36:53.138880'), Timestamp('2012-03-11 06:22:47.292958'))","(Timestamp('2012-03-08 03:35:05.040961'), Timestamp('2012-03-11 17:20:58.879682'))"
100,2012,2012,72.84482638888888,81.77868055555555,20.27583333333333,18.688333333333333,6,[],Power-Law Decay,-0.949938223143952,-0.967814934124629,"(Timestamp('2012-03-13 17:13:07.036318'), Timestamp('2012-03-20 06:47:12.636963'))","(Timestamp('2012-03-15 23:04:15.857759'), Timestamp('2012-03-22 12:38:21.773760'))"
101,2012,2012,137.2517013888889,143.56773148148147,6.0408333333333335,13.625555555555556,6,[],Exponential Decay,-0.986435017872283,-0.8889272445868376,"(Timestamp('2012-05-17 10:57:42.392160'), Timestamp('2012-05-22 08:38:21.563518'))","(Timestamp('2012-05-17 13:57:12.882241'), Timestamp('2012-05-22 11:37:52.053598'))"
102,2012,2012,166.08936342592594,174.56613425925923,2.144722222222222,13.587222222222223,4,"['Si', 'Fe']",Power-Law Decay,-0.9621318502021613,-0.9666428403223464,"(Timestamp('2012-06-16 10:59:20.758557'), Timestamp('2012-06-23 02:33:06.791040'))","(Timestamp('2012-06-16 07:59:50.268476'), Timestamp('2012-06-22 23:33:36.300960'))"
103,2012,2012,187.4890625,194.17907407407407,11.7375,4.297777777777777,6,[],Exponential Decay,-0.9550879697306585,-0.8151928779816121,"(Timestamp('2012-07-07 10:36:33.465598'), Timestamp('2012-07-12 04:17:52.088641'))","(Timestamp('2012-07-07 11:36:23.523840'), Timestamp('2012-07-12 05:17:42.146882'))"
