Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
139,2000,2000,122.1264699074074,124.8274074074074,3.0352777777777775,19.85777777777778,1,"['Fe', 'C', 'Si', 'O', 'N']"
141,2000,2000,126.48952546296296,134.88319444444446,11.74861111111111,21.196666666666665,1,"['Fe', 'C', 'Si', 'O', 'N']"
143,2000,2000,136.46219907407408,140.8667939814815,11.092777777777778,20.803055555555556,3,"['Si', 'Fe', 'N']"
145,2000,2000,143.23531250000002,148.88649305555558,5.6475,21.27583333333333,1,"['Fe', 'C', 'Si', 'O', 'N']"
147,2000,2000,156.28289351851853,158.5267476851852,6.789444444444444,12.641944444444444,1,"['Fe', 'C', 'Si', 'O', 'N']"
148,2000,2000,157.94501157407404,167.33594907407408,22.68027777777778,8.062777777777779,4,"['Si', 'Fe']"
149,2000,2000,166.5879976851852,173.27799768518517,14.111944444444443,6.671944444444445,3,"['Si', 'Fe', 'N']"
150,2000,2000,174.85700231481482,177.01775462962962,20.568055555555556,0.4261111111111111,1,"['Fe', 'C', 'Si', 'O', 'N']"
151,2000,2000,176.80998842592592,182.58583333333334,19.439722222222223,14.06,3,"['Si', 'Fe', 'N']"
154,2000,2000,195.7165277777778,202.6142939814815,17.196666666666665,14.743055555555555,6,[]
155,2000,2000,204.02709490740742,207.51752314814814,0.6502777777777778,12.420555555555556,4,"['Si', 'Fe']"
156,2000,2000,207.39287037037036,209.47050925925927,9.428888888888888,11.292222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
157,2000,2000,209.01342592592593,214.24908564814817,0.3222222222222222,5.978055555555556,3,"['Si', 'Fe', 'N']"
158,2000,2000,216.90846064814815,222.51810185185184,21.803055555555556,12.434444444444445,1,"['Fe', 'C', 'Si', 'O', 'N']"
161,2000,2000,225.71766203703706,233.1971759259259,17.223888888888887,4.732222222222222,2,"['Si', 'Fe', 'O', 'N']"
163,2000,2000,235.0254976851852,239.72096064814815,0.6119444444444444,17.303055555555556,1,"['Fe', 'C', 'Si', 'O', 'N']"
164,2000,2000,242.67121527777778,246.16165509259258,16.109166666666667,3.879722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
165,2000,2000,247.6159953703704,254.596875,14.783888888888889,14.325,1,"['Fe', 'C', 'Si', 'O', 'N']"
166,2000,2000,255.38637731481484,270.4284953703704,9.273055555555556,10.283888888888889,6,[]
167,2000,2000,270.3453935185185,272.63079861111106,8.289444444444444,15.139166666666666,1,"['Fe', 'C', 'Si', 'O', 'N']"
170,2000,2000,285.76149305555555,289.5428009259259,18.27583333333333,13.027222222222223,1,"['Fe', 'C', 'Si', 'O', 'N']"
171,2000,2000,289.459699074074,296.52368055555553,11.03277777777778,12.568333333333333,6,[]
172,2000,2000,298.76752314814814,303.0059143518518,18.420555555555556,0.14194444444444443,6,[]
173,2000,2000,302.75659722222224,311.77356481481485,18.15833333333333,18.565555555555555,4,"['Si', 'Fe']"
174,2000,2000,312.97858796296293,321.16449074074075,23.48611111111111,3.947777777777778,6,[]
175,2000,2000,321.4969212962963,323.5745601851852,11.92611111111111,13.789444444444444,3,"['Si', 'Fe', 'N']"
178,2000,2000,329.43350694444445,334.17053240740745,10.404166666666667,4.092777777777777,6,[]
179,2000,2000,333.79655092592594,342.35643518518515,19.11722222222222,8.554444444444446,4,"['Si', 'Fe']"
180,2000,2000,341.81625,349.5450694444445,19.59,13.081666666666667,1,"['Fe', 'C', 'Si', 'O', 'N']"
181,2000,2000,351.99668981481483,354.4483101851852,23.920555555555556,10.759444444444444,1,"['Fe', 'C', 'Si', 'O', 'N']"
182,2000,2000,360.34880787037036,363.17439814814816,8.37138888888889,4.185555555555556,1,"['Fe', 'C', 'Si', 'O', 'N']"
183,2000,2001,362.80042824074076,3.0416666666666665,19.210277777777776,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
184,2001,2001,3.249988425925926,5.791655092592593,5.999722222222222,18.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
187,2001,2001,13.45832175925926,20.374988425925924,10.999722222222221,8.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
188,2001,2001,22.124988425925924,25.75,2.999722222222222,18.0,4,"['Si', 'N']"
189,2001,2001,26.708333333333332,28.916666666666668,17.0,22.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
190,2001,2001,28.70832175925926,36.041666666666664,16.999722222222225,1.0,6,[]
192,2001,2001,41.87498842592593,46.375,20.999722222222225,9.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
195,2001,2001,69.24998842592592,76.24998842592592,5.999722222222222,5.999722222222222,3,"['Si', 'Fe', 'N']"
200,2001,2001,85.33333333333333,87.91665509259259,8.0,21.999722222222225,2,"['Si', 'Fe', 'O', 'N']"
201,2001,2001,88.37498842592592,92.20832175925926,8.999722222222221,4.999722222222222,6,[]
202,2001,2001,92.70833333333333,97.49998842592592,17.0,11.999722222222221,6,[]
203,2001,2001,97.20832175925926,100.33333333333333,4.999722222222222,8.0,5,['Fe']
204,2001,2001,101.45832175925926,105.625,10.999722222222221,15.0,6,[]
205,2001,2001,105.625,108.37498842592592,15.0,8.999722222222221,6,[]
206,2001,2001,107.91665509259259,116.62498842592592,21.999722222222225,14.999722222222221,6,[]
207,2001,2001,116.5,119.87498842592592,12.0,20.999722222222225,3,"['Si', 'Fe', 'N']"
208,2001,2001,119.625,125.04165509259259,15.0,0.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
210,2001,2001,127.49998842592592,133.5416550925926,11.999722222222221,12.999722222222221,6,[]
211,2001,2001,133.41666666666666,137.875,10.0,21.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
212,2001,2001,140.95833333333334,145.58332175925926,23.0,13.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
214,2001,2001,152.83333333333334,155.33332175925926,20.0,7.999722222222222,3,"['Si', 'Fe', 'N']"
215,2001,2001,154.7916550925926,162.6666550925926,18.999722222222225,15.999722222222221,2,"['Si', 'Fe', 'C', 'N']"
